kf_mgkg,frequency_thz,eps_real
75,1.61,1.0239691819903347
75,1.615,1.026109167643646
75,1.62,1.0240617652900978
75,1.625,1.0309819753829408
75,1.6300000000000001,1.0313155653025718
75,1.635,1.0257206308436244
75,1.6400000000000001,1.022225465051473
75,1.645,1.0277282072131795
75,1.6500000000000001,1.0240313749302674
75,1.655,1.0285415972543397
75,1.66,1.0287748754830357
75,1.665,1.0277141060610753
75,1.67,1.0222263103950302
75,1.675,1.0204059277696875
75,1.68,1.0209343591179023
75,1.685,1.0220463773277462
75,1.69,1.0196775345091575
75,1.695,1.024675007847585
75,1.7,1.0230446628978673
75,1.705,1.021030543935609
75,1.71,1.019834120032131
75,1.715,1.0221833720518967
75,1.72,1.0237365986072255
75,1.725,1.0152021433094516
75,1.73,1.0203531481994144
75,1.735,1.0187650114488727
75,1.74,1.0174093109496096
75,1.745,1.018176572345219
75,1.75,1.0191320600656246
75,1.7550000000000001,1.0232420693096955
75,1.76,1.018489619852253
75,1.7650000000000001,1.0170579087221392
75,1.77,1.0148563143151568
75,1.7750000000000001,1.0196579495444615
75,1.78,1.0156487100513807
75,1.785,1.0170563037320786
75,1.79,1.0189425708017237
75,1.795,1.0171169332862078
75,1.8,1.015853605223389
75,1.805,1.0162276094262235
75,1.81,1.0187526148852042
75,1.815,1.0163121184402104
75,1.82,1.0168295180147162
75,1.825,1.0171487611249246
75,1.83,1.0151312884948143
75,1.835,1.0166706801732108
75,1.84,1.0150492037152352
75,1.845,1.0184734214954603
75,1.85,1.016798104928127
75,1.855,1.0111296607917004
75,1.86,1.014856181655939
75,1.865,1.0180736661538026
75,1.87,1.0147017919861978
75,1.875,1.014117909130427
75,1.8800000000000001,1.0176056257763253
75,1.885,1.0123689747226556
75,1.8900000000000001,1.0151990977443361
75,1.895,1.0164796654125547
75,1.9000000000000001,1.0171085241929334
75,1.905,1.012376396014854
75,1.91,1.0118318382481657
75,1.915,1.0186777948799888
75,1.92,1.0129957190011176
75,1.925,1.0147236656333065
75,1.93,1.0210391607809688
75,1.935,1.0138167076165383
75,1.94,1.0094992793860629
75,1.945,1.0220018167693616
75,1.95,1.0176022463388519
75,1.955,1.0160092511398222
75,1.96,1.022101930399029
75,1.965,1.0150229453725048
75,1.97,1.018883002591393
75,1.975,1.0153612693406548
75,1.98,1.014707684349464
75,1.985,1.017049321088262
75,1.99,1.017754636951265
75,1.995,1.0188294386887817
75,2.0,1.0186937073050926
84,0.5,1.257698778225405
84,0.505,1.2584729376827515
84,0.51,1.2632542591761986
84,0.515,1.259672188617159
84,0.52,1.258140307433242
84,0.525,1.2610173698565055
84,0.53,1.2609076267972859
84,0.535,1.2603968023685617
84,0.54,1.2555773337277212
84,0.545,1.2557581812319616
84,0.55,1.2583843417419351
84,0.555,1.2592753723154695
84,0.56,1.2531039379970539
84,0.565,1.2547579248121816
84,0.5700000000000001,1.2551319783899018
84,0.575,1.2580419333003292
84,0.58,1.252640874859977
84,0.585,1.2619423619226044
84,0.59,1.2552437128936031
84,0.595,1.256414503173428
84,0.6,1.2602918011469548
84,0.605,1.2561500666663792
84,0.61,1.256332163087757
84,0.615,1.2538888775122727
84,0.62,1.2553884751686581
84,0.625,1.2514652736935172
84,0.63,1.2538110789032852
84,0.635,1.2539983830668635
84,0.64,1.2513409558485526
84,0.645,1.2562497012363705
84,0.65,1.254789333547434
84,0.655,1.2489396688640941
84,0.66,1.255503218905462
84,0.665,1.2511619441606097
84,0.67,1.254884078354355
84,0.675,1.2513847470862005
84,0.6799999999999999,1.2524595500506233
84,0.685,1.2543761049635767
84,0.69,1.2581568781114443
84,0.6950000000000001,1.2495174471952166
84,0.7,1.2524229582162214
84,0.7050000000000001,1.2524343594882497
84,0.71,1.2560259914958107
