day,has_kf_reference,kf_mgkg,frequency_thz,eps_real_mean,eps_real_sd,n_scans,eps_real_sem
3,True,84.0,1.98,1.3076742127249783,0.06856096674996673,120,0.006258731342219739
3,True,84.0,1.99,1.3124968127049539,0.06944425508539895,120,0.006339364166569308
3,True,84.0,2.0,1.3083000777952736,0.06820791108131859,120,0.006226501916590796
10,True,91.0,0.5,1.417377839843977,0.162021403126893,131,0.014155875717787978
10,True,91.0,0.51,1.418090889318723,0.16060521274922365,131,0.014032142589990575
10,True,91.0,0.52,1.4197258045172312,0.1593294267644654,131,0.013920676650959116
10,True,91.0,0.53,1.424802641976489,0.15694064008698977,131,0.013711967389898286
10,True,91.0,0.54,1.4279881472169453,0.15446316468104243,131,0.013495509358652872
10,True,91.0,0.55,1.431857716027709,0.1521247987262634,131,0.013291205376588022
10,True,91.0,0.56,1.4344830424283914,0.15036935849942615,131,0.013137831851846655
10,True,91.0,0.57,1.4352656232322214,0.1509263497261781,131,0.013186496401280433
10,True,91.0,0.58,1.4340286088122414,0.15198610177470293,131,0.013279087367665532
10,True,91.0,0.59,1.4310129952358412,0.1542275663026347,131,0.013474925032757113
10,True,91.0,0.6,1.4278531215287036,0.1568013116714422,131,0.013699794209711081
10,True,91.0,0.61,1.424031258456695,0.15925291386822432,131,0.013913991688175845
10,True,91.0,0.62,1.4205299011860104,0.16024072622213686,131,0.014000297254259173
10,True,91.0,0.63,1.4195803382019636,0.16130627008146875,131,0.014093394253504025
10,True,91.0,0.64,1.417608759172318,0.1599837407544275,131,0.013977844329695113
10,True,91.0,0.65,1.4193835170063371,0.15807030595054464,131,0.013810666754664224
10,True,91.0,0.66,1.4209245181057544,0.15533695403985145,131,0.013571852689398742
10,True,91.0,0.67,1.424757356267671,0.15209660482624807,131,0.013288742064106374
10,True,91.0,0.68,1.4256770129968053,0.14946860970398476,131,0.013059133064185687
10,True,91.0,0.69,1.4287005904519647,0.14749384956212075,131,0.012886597469497775
10,True,91.0,0.7,1.4282229622791458,0.14667652080141635,131,0.012815187124112459
10,True,91.0,0.71,1.4271672512158904,0.1474596346511328,131,0.012883608098844927
10,True,91.0,0.72,1.423303777267832,0.14912989435006466,131,0.013029539366308348
10,True,91.0,0.73,1.4215410380518925,0.1513457203051766,131,0.01322313697889196
10,True,91.0,0.74,1.4171633768023237,0.15360939103661178,131,0.013420914808991938
10,True,91.0,0.75,1.4158132469655276,0.1556591570424163,131,0.01360000369643967
10,True,91.0,0.76,1.414035145232316,0.15598165031169223,131,0.013628180064200895
10,True,91.0,0.77,1.4151501773495334,0.1558895118211158,131,0.013620129886901769
10,True,91.0,0.78,1.415275560735808,0.15447589108973045,131,0.013496621270142617
10,True,91.0,0.79,1.418803561771123,0.1526684792311707,131,0.013338706962854524
10,True,91.0,0.8,1.420635742466242,0.14948007683976752,131,0.013060134952490855
10,True,91.0,0.81,1.4230828953142127,0.14737692692079932,131,0.012876381890893969
10,True,91.0,0.82,1.4247128180606914,0.1449079063853085,131,0.012660662565110196
10,True,91.0,0.83,1.4257703921156595,0.14418089787386212,131,0.012597143536542415
10,True,91.0,0.84,1.423487084640058,0.14455374672736734,131,0.012629719492125309
10,True,91.0,0.85,1.4216189665505474,0.1457425206645426,131,0.012733583153261601
10,True,91.0,0.86,1.4171419884035523,0.14737906724176536,131,0.012876568891605027
10,True,91.0,0.87,1.4154327630631889,0.14959134886598358,131,0.01306985683456064
10,True,91.0,0.88,1.412014308143286,0.1509823870293333,131,0.013191392403189539
10,True,91.0,0.89,1.4113846225212863,0.15177156970099234,131,0.013260343613357048
10,True,91.0,0.9,1.4107170241766376,0.1517556003793685,131,0.01325894836724856
10,True,91.0,0.91,1.4120932851097874,0.15035626854648762,131,0.013136688177348265
10,True,91.0,0.92,1.4128046329337518,0.1491201550145443,131,0.013028688436613015
10,True,91.0,0.93,1.4159714866494237,0.14652654145229793,131,0.012802083367538443
10,True,91.0,0.94,1.416130434133445,0.14500226201571692,131,0.01266890645481586
10,True,91.0,0.95,1.4187107215589836,0.14336944639289234,131,0.012526246691471725
10,True,91.0,0.96,1.4184253551808752,0.1422899574867677,131,0.012431931307831556
